name,Borough
Crescent St & 30 Ave,Queens
3 Ave & E 72 St,Manhattan
14 St & 7 Ave,Brooklyn
Dean St & Hoyt St,Brooklyn
31 St & Broadway,Queens
Bergen St & Vanderbilt Ave,Brooklyn
Hoyt St & Warren St,Brooklyn
Center Blvd & 48 Ave,Queens
Clinton St & Union St,Brooklyn
E 88 St & Park Ave,Manhattan
Marcus Garvey Blvd & Macon St,Brooklyn
Columbia St & W 9 St,Brooklyn
Wyckoff St & 3 Ave,Brooklyn
W 56 St & 10 Ave,Manhattan
Putnam Ave & Throop Ave,Brooklyn
Fulton St & Waverly Ave,Brooklyn
Park Ave & Marcus Garvey Blvd,Brooklyn
Carlton Ave & Dean St,Brooklyn
Broadway & 12 St,Queens
7 St & 5 Ave,Brooklyn
Montague St & Clinton St,Brooklyn
W 42 St & Dyer Ave,Manhattan
Frederick Douglass Blvd & W 112 St,Manhattan
E 115 St & Madison Ave,Manhattan
Berkeley Pl & 6 Ave,Brooklyn
E 98 St & Park Ave,Manhattan
Boerum St & Broadway,Brooklyn
Myrtle Ave & Marcy Ave,Brooklyn
Newton Rd & 44 St,Queens
Astoria Park S & Shore Blvd,Queens
E 118 St & Madison Ave,Manhattan
43 St & Broadway,Queens
Prospect Pl & Underhill Ave,Brooklyn
Verona Pl & Fulton St,Brooklyn
Greenwich Ave & 8 Ave,Manhattan
W 55 St & 6 Ave,Manhattan
Douglass St & 4 Ave,Brooklyn
E 80 St & 2 Ave,Manhattan
Rivington St & Ridge St,Manhattan
Jackson Ave & 46 Rd,Queens
S 3 St & Bedford Ave,Brooklyn
Bond St & Bergen St,Brooklyn
1 Ave & E 16 St,Manhattan
Old Fulton St,Brooklyn
Lispenard St & Broadway,Manhattan
Hope St & Union Ave,Brooklyn
Cadman Plaza E & Red Cross Pl,Brooklyn
Cliff St & Fulton St,Manhattan
Fulton St & Utica Ave,Brooklyn
Cherry St,Manhattan
Broadway & W 38 St,Manhattan
Central Park North & Adam Clayton Powell Blvd,Manhattan
46 Ave & 5 St,Queens
Lenox Ave & W 115 St,Manhattan
3 St & 3 Ave,Brooklyn
Adam Clayton Powell Blvd & W 118 St,Manhattan
Pitt St & Stanton St,Manhattan
Cooper Square & Astor Pl,Manhattan
Metropolitan Ave & Meeker Ave,Brooklyn
Duffield St & Willoughby St,Brooklyn
Clinton St & Joralemon St,Brooklyn
E 88 St & 1 Ave,Manhattan
E 33 St & 1 Ave,Manhattan
W 100 St & Manhattan Ave,Manhattan
1 Ave & E 44 St,Manhattan
Nassau St & Navy St,Brooklyn
Vernon Blvd & 50 Ave,Queens
W 110 St & Amsterdam Ave,Manhattan
Prospect Park West & 8 St,Brooklyn
11 St & 43 Ave,Queens
31 St & Thomson Ave,Queens
Monroe St & Classon Ave,Brooklyn
W 20 St & 7 Ave,Manhattan
E 102 St & 1 Ave,Manhattan
Van Brunt St & Wolcott St,Brooklyn
Willoughby Ave & Tompkins Ave,Brooklyn
E 60 St & York Ave,Manhattan
